id,en,es
Right,Right,Derecha
Left,Left,Izquierda
Up,Up,Arriba
Down,Down,Abajo
Jump,Jump,Saltar
Shoot,Shoot,Disparar
NEW_GAME,New game,Nuevo juego
CONTINUE,Continue,Continuar
RESUME,Resume,Reanudar
RESTART,Restart,Reiniciar
OPTIONS,Options,Opciones
MAIN_MENU,Main Menu,Menú principal
BACK,Back,Atrás
EXIT,Exit,Salir
PAUSE,Pause,Pausa
LOADING,Loading,Cargando
RESOLUTION,Resolution,Resolución
FULLSCREEN,Fullscreen window,Pantalla completa
BORDERLESS,Borderless window,Pantalla sin bordes
SCALE,Scale,Escalado
VOLUME,Volume,Volumen
MASTER,Master,General
MUSIC,Music,Música
SFX,Sounds,Efectos de Sonido
CONTROLS,Controls,Controles
ACTIONS,Actions,Acciones
KEYBOARD,Keyboard,Teclado
GAMEPAD,Gamepad,Gamepad
DEFAULT,Default,Defecto
USE_NEW_CONTROLS,Use new control!,Usar nuevos controles!
CANCEL,Cancel,Cancelar
LANGUAGES,Languages,Idiomas
